id,mesin,value,created_at,next_processes,std_mp,std_ct,stroke_ratio,harga_pcs,alias_values
95de1388-6ca0-4cee-9acc-4d74199441fb,pc200t,74U50-CN405S,2026-07-17 06:35:11.487156+00,[],null,0.20500000000000002,1,28956.02,[]
e3a91186-133c-4826-99f0-5a9fa5095402,pc200t,74U50-SH404S-D,2026-08-04 03:46:50.342859+00,[],null,0.1,1,null,[]
cfc5358a-aafe-4176-ac17-8812e89abef7,pc200t,889FI-CN505S,2026-07-17 06:35:11.487156+00,[],null,0.405,1,20134.17,[]
438fbacf-c35a-4424-bb3d-32227c3cf236,pc200t,889FI-CN505S-D,2026-08-04 03:46:50.342859+00,[],null,0.1,1,null,[]
434ec6a2-3059-4be7-86ee-d75a2240c7b2,transfer_800t,61418-0D120,2026-07-22 03:29:50.645646+00,[],null,null,1,11312.93,[]
e5144100-3037-4159-af4d-e2c8bc53a182,transfer_800t,61517-0D170,2026-07-22 03:29:50.645646+00,[],null,null,1,9089.33,[]
997b5c49-06ea-4a29-b582-1cc7fea00a51,transfer_800t,61518-0D160,2026-07-22 03:29:50.645646+00,[],null,null,1,9089.33,[]
3b249a6d-4459-4470-8730-915841a25d0c,transfer_800t,61627-0D010-001,2026-07-22 03:29:50.645646+00,[],null,null,1,6412.79,[]
ba09941f-57a9-4798-aa50-46707e44b9c9,transfer_800t,61628-0D010-001,2026-07-22 03:29:50.645646+00,[],null,null,1,6412.79,[]
77fb9bb1-fba9-4d64-b8f2-5cb4a60d8072,transfer_800t,61747-0D010,2026-07-22 03:29:50.645646+00,[],null,null,1,7013.26,[]
38744038-480c-4710-8a22-b98c1f122744,transfer_800t,61748-0D010,2026-07-22 03:29:50.645646+00,[],null,null,1,7013.26,[]
561c9b2b-4c82-4a90-bcab-2592a3a45753,pc200t,889FI-SH803S-D-NEW,2026-08-04 03:46:50.342859+00,[],null,0.1,1,null,[]
72e05c7f-666a-42fb-9744-dcaca535d515,transfer_800t,63135-0D100,2026-07-22 03:29:50.645646+00,[],null,null,1,16627.24,[]
e8a5f579-60f7-42da-9852-517d73e6a2cf,transfer_800t,67118-0D020,2026-07-22 03:29:50.645646+00,[],null,null,1,6569.75,[]
cdee11c6-15a2-47f6-8ee2-b5171f8d7892,transfer_800t,67119-0D020,2026-07-22 03:29:50.645646+00,[],null,null,1,6569.75,[]
e2434124-a1f3-4b11-8a94-47a88164bc0a,pc200t,889FI-SH803S-NEW,2026-08-04 03:46:50.342859+00,[],null,0.20500000000000002,1,null,[]
88b1add5-0171-4a9d-a618-7f4a312a764f,transfer_2000t,58375-0D250-001,2026-07-17 06:35:11.487156+00,[],null,0.15636363636363637,1,81005.09,[]
4ce4ee7a-1bc4-4d4f-b758-d6964d3cc79e,transfer_800t,67177-0D010,2026-07-22 03:29:50.645646+00,[],null,null,1,12432.43,[]
0811847f-486c-4d93-82bc-3a3cbe23aee6,transfer_800t,67178-0D010,2026-07-22 03:29:50.645646+00,[],null,null,1,12432.43,[]
